feature,importance_mean,importance_std
f14,0.14022346368715083,0.030847905457605646
f2,0.05027932960893853,0.010890273010959742
f10,0.04804469273743016,0.02704741550147533
f1,0.03184357541899441,0.009364834980022461
f8,0.02960893854748604,0.006633710663149667
f25,0.017877094972067055,0.006016943918586046
f12,0.015642458100558664,0.006016943918586056
f15,0.013407821229050265,0.011228911308514982
f16,0.012290502793296087,0.0033519553072625997
f3,0.012290502793296076,0.007821229050279346
f13,0.011731843575419,0.00583257346866514
f6,0.00893854748603351,0.009414692483995953
f20,0.00502793296089381,0.004640571990457029
f9,0.0044692737430167325,0.00418062277851836
f5,0.0027932960893854554,0.005724553500536096
f26,0.0027932960893854554,0.005724553500536096
f11,0.0022346368715083663,0.0037057260227434494
f4,0.0011173184357541666,0.003351955307262555
f24,0.0005586592178770556,0.006819304813259043
f23,0.0,0.0
f0,0.0,0.0
f27,0.0,0.0
f22,0.0,0.0
f18,0.0,0.0
f21,0.0,0.0
f17,-1.1102230246251566e-17,0.0024983999748600977
f28,-0.0005586592178770999,0.0016759776536313
f7,-0.003910614525139677,0.004363267975366848
f19,-0.004469273743016778,0.0041806227785183715
