threshold,accuracy,f1
0.05,0.40782122905027934,0.5619834710743802
0.1,0.5921787709497207,0.6331658291457286
0.15,0.7374301675977654,0.7218934911242604
0.2,0.7653631284916201,0.7407407407407407
0.25,0.770949720670391,0.7421383647798742
0.3,0.7877094972067039,0.7532467532467533
0.35,0.8156424581005587,0.7755102040816326
0.39999999999999997,0.8212290502793296,0.7746478873239436
0.44999999999999996,0.8379888268156425,0.7883211678832117
0.49999999999999994,0.8491620111731844,0.7969924812030075
0.5499999999999999,0.8379888268156425,0.7751937984496124
0.6,0.8268156424581006,0.752
0.65,0.8100558659217877,0.7166666666666667
0.7,0.7988826815642458,0.6727272727272727
0.75,0.7653631284916201,0.5961538461538461
0.7999999999999999,0.7262569832402235,0.46153846153846156
0.85,0.7094972067039106,0.4090909090909091
0.9,0.6871508379888268,0.3333333333333333
0.95,0.6480446927374302,0.16
