mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0036817073822021486,0.00018589198013584685,0.0025574207305908204,0.0001339746614291482,gini,2,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2}",0.7762237762237763,0.7622377622377622,0.8098591549295775,0.8169014084507042,0.795774647887324,0.7921993499458289,0.020434083564230078,24
0.0042934417724609375,0.000273800087240771,0.0028486728668212892,0.00012880274618470714,gini,2,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5}",0.7762237762237763,0.7622377622377622,0.8098591549295775,0.8169014084507042,0.795774647887324,0.7921993499458289,0.020434083564230078,24
0.003470706939697266,0.0002251698776712311,0.0023684024810791014,0.00022201321992445171,gini,2,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10}",0.7762237762237763,0.7622377622377622,0.8098591549295775,0.8169014084507042,0.795774647887324,0.7921993499458289,0.020434083564230078,24
0.003916406631469726,0.0003203323249385149,0.0023502826690673826,0.00018259871165550556,gini,4,2,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}",0.8041958041958042,0.7482517482517482,0.852112676056338,0.8309859154929577,0.8169014084507042,0.8104895104895105,0.034948112259775344,10
0.003470706939697266,6.462039040863656e-05,0.00214691162109375,4.052257446942994e-05,gini,4,5,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 5}",0.8041958041958042,0.7482517482517482,0.8591549295774648,0.8309859154929577,0.8169014084507042,0.8118979611937359,0.036695419847389193,8
0.003941965103149414,0.0007115933176045903,0.002296733856201172,0.00025624553634611395,gini,4,10,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 10}",0.8041958041958042,0.7482517482517482,0.8591549295774648,0.8380281690140845,0.8169014084507042,0.8133064118979613,0.037526759208210574,7
0.004018068313598633,0.0003159603393642127,0.002236032485961914,5.538635501665041e-05,gini,6,2,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_split': 2}",0.7972027972027972,0.7902097902097902,0.8380281690140845,0.852112676056338,0.795774647887324,0.8146656160740668,0.02532981374530048,6
0.0038527965545654295,0.00010057505135948424,0.002447509765625,0.00037089023158065306,gini,6,5,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_split': 5}",0.7972027972027972,0.7902097902097902,0.8450704225352113,0.8450704225352113,0.8028169014084507,0.8160740667782921,0.02401006183169845,3
0.0037236690521240236,0.00014739000307431618,0.0021961212158203127,8.531087187520006e-05,gini,6,10,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_split': 10}",0.8041958041958042,0.7762237762237763,0.8450704225352113,0.8591549295774648,0.8169014084507042,0.8203092681965922,0.029451275031603916,1
0.004254293441772461,0.00021799863241934455,0.0028080463409423826,0.0005113877534807149,gini,8,2,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 2}",0.7692307692307693,0.7552447552447552,0.8309859154929577,0.8380281690140845,0.8028169014084507,0.7992613020782035,0.03274523676255567,22
0.0040874481201171875,0.00018300492039314946,0.002300930023193359,6.72317396271158e-05,gini,8,5,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 5}",0.7622377622377622,0.7622377622377622,0.8380281690140845,0.8380281690140845,0.8098591549295775,0.8020782034866543,0.03411704783833683,17
0.00415186882019043,0.0002900561042868107,0.0023792743682861327,0.0002607641712553513,gini,8,10,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 10}",0.7832167832167832,0.7482517482517482,0.823943661971831,0.852112676056338,0.8309859154929577,0.8077021569979317,0.03718090565276699,14
0.004622697830200195,0.000600621536742519,0.0024040699005126952,7.836606530850557e-05,gini,10,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.7552447552447552,0.7552447552447552,0.8098591549295775,0.8309859154929577,0.8028169014084507,0.7908302964640994,0.030498889750052365,27
0.00435786247253418,8.196266236985613e-05,0.002518177032470703,0.00013182965057778335,gini,10,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.7552447552447552,0.7622377622377622,0.8028169014084507,0.823943661971831,0.8028169014084507,0.7894119964542501,0.026296989387383264,28
0.004468584060668945,0.000332857803201135,0.0027887821197509766,0.00045889161640067655,gini,10,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.7762237762237763,0.7482517482517482,0.8169014084507042,0.8309859154929577,0.823943661971831,0.7992613020782036,0.03181051875758942,21
0.0061226367950439455,0.0010017538355646578,0.0032968044281005858,0.0007156113916541775,gini,,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",0.7692307692307693,0.6993006993006993,0.8028169014084507,0.7887323943661971,0.7746478873239436,0.766945730326012,0.03578210304735609,35
0.004173707962036133,4.828324128790937e-05,0.002214527130126953,5.022741067948675e-05,gini,,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",0.7832167832167832,0.7062937062937062,0.795774647887324,0.7535211267605634,0.8028169014084507,0.7683246331133656,0.03530432183282036,34
0.004201650619506836,0.00016981844269263306,0.00241851806640625,0.00021189728029538142,gini,,10,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",0.7762237762237763,0.7132867132867133,0.823943661971831,0.8309859154929577,0.823943661971831,0.7936767457894218,0.0447019240006492,23
