w1,w2,w3,accuracy,f1
0.0,0.0,1.0,0.8439955106621774,0.785824345146379
0.0,0.1,0.9,0.8428731762065096,0.7846153846153846
0.0,0.2,0.8,0.8417508417508418,0.7820710973724884
0.0,0.30000000000000004,0.7,0.8439955106621774,0.785824345146379
0.0,0.4,0.6,0.8439955106621774,0.785824345146379
0.0,0.5,0.5,0.8439955106621774,0.7871362940275651
0.0,0.6000000000000001,0.3999999999999999,0.8417508417508418,0.7847328244274809
0.0,0.7000000000000001,0.29999999999999993,0.8395061728395061,0.781010719754977
0.0,0.8,0.19999999999999996,0.8361391694725028,0.7774390243902439
0.0,0.9,0.09999999999999998,0.8338945005611672,0.774390243902439
0.0,1.0,0.0,0.8316498316498316,0.7727272727272727
0.1,0.0,0.9,0.8417508417508418,0.783410138248848
0.1,0.1,0.8,0.8395061728395061,0.7796610169491526
0.1,0.2,0.7,0.8417508417508418,0.7820710973724884
0.1,0.30000000000000004,0.6,0.8428731762065096,0.7832817337461301
0.1,0.4,0.5,0.8417508417508418,0.783410138248848
0.1,0.5,0.4,0.8406285072951739,0.7828746177370031
0.1,0.6000000000000001,0.29999999999999993,0.8417508417508418,0.7840735068912711
0.1,0.7000000000000001,0.19999999999999996,0.8395061728395061,0.7823439878234398
0.1,0.8,0.09999999999999998,0.8361391694725028,0.7781155015197568
0.1,0.9,0.0,0.8327721661054994,0.7738998482549317
0.2,0.0,0.8,0.8417508417508418,0.7840735068912711
0.2,0.1,0.7000000000000001,0.8428731762065096,0.7839506172839507
0.2,0.2,0.6000000000000001,0.8417508417508418,0.7820710973724884
0.2,0.30000000000000004,0.5,0.8406285072951739,0.7801857585139319
0.2,0.4,0.4,0.8428731762065096,0.7839506172839507
0.2,0.5,0.30000000000000004,0.8417508417508418,0.7847328244274809
0.2,0.6000000000000001,0.19999999999999996,0.8372615039281706,0.7786259541984732
0.2,0.7000000000000001,0.09999999999999998,0.8361391694725028,0.7781155015197568
0.2,0.8,0.0,0.835016835016835,0.7769347496206374
0.30000000000000004,0.0,0.7,0.8406285072951739,0.7815384615384615
0.30000000000000004,0.1,0.6,0.8417508417508418,0.7820710973724884
0.30000000000000004,0.2,0.49999999999999994,0.8417508417508418,0.7813953488372093
0.30000000000000004,0.30000000000000004,0.3999999999999999,0.8439955106621774,0.7851622874806801
0.30000000000000004,0.4,0.29999999999999993,0.8395061728395061,0.781010719754977
0.30000000000000004,0.5,0.19999999999999996,0.8395061728395061,0.7816793893129771
0.30000000000000004,0.6000000000000001,0.09999999999999987,0.8383838383838383,0.7804878048780488
0.30000000000000004,0.7000000000000001,-1.1102230246251565e-16,0.8361391694725028,0.7781155015197568
0.4,0.0,0.6,0.8395061728395061,0.7796610169491526
0.4,0.1,0.5,0.8417508417508418,0.7827426810477658
0.4,0.2,0.39999999999999997,0.8417508417508418,0.7820710973724884
0.4,0.30000000000000004,0.29999999999999993,0.8383838383838383,0.7777777777777778
0.4,0.4,0.19999999999999996,0.8395061728395061,0.7816793893129771
0.4,0.5,0.09999999999999998,0.8372615039281706,0.7786259541984732
0.4,0.6000000000000001,-1.1102230246251565e-16,0.8372615039281706,0.7792998477929984
0.5,0.0,0.5,0.8428731762065096,0.7839506172839507
0.5,0.1,0.4,0.8428731762065096,0.7846153846153846
0.5,0.2,0.3,0.8406285072951739,0.7815384615384615
0.5,0.30000000000000004,0.19999999999999996,0.8417508417508418,0.7840735068912711
0.5,0.4,0.09999999999999998,0.8417508417508418,0.7853881278538812
0.5,0.5,0.0,0.8372615039281706,0.7786259541984732
0.6000000000000001,0.0,0.3999999999999999,0.8417508417508418,0.783410138248848
0.6000000000000001,0.1,0.29999999999999993,0.8417508417508418,0.7820710973724884
0.6000000000000001,0.2,0.1999999999999999,0.8383838383838383,0.7798165137614679
0.6000000000000001,0.30000000000000004,0.09999999999999987,0.8383838383838383,0.7798165137614679
0.6000000000000001,0.4,-1.1102230246251565e-16,0.8406285072951739,0.78419452887538
0.7000000000000001,0.0,0.29999999999999993,0.8406285072951739,0.7815384615384615
0.7000000000000001,0.1,0.19999999999999993,0.8417508417508418,0.7840735068912711
0.7000000000000001,0.2,0.09999999999999992,0.8406285072951739,0.7835365853658537
0.7000000000000001,0.30000000000000004,-1.1102230246251565e-16,0.8372615039281706,0.7792998477929984
0.8,0.0,0.19999999999999996,0.8383838383838383,0.7798165137614679
0.8,0.1,0.09999999999999995,0.8361391694725028,0.7781155015197568
0.8,0.2,-5.551115123125783e-17,0.8383838383838383,0.7818181818181819
0.9,0.0,0.09999999999999998,0.8338945005611672,0.7750759878419453
0.9,0.1,-2.7755575615628914e-17,0.8327721661054994,0.7745839636913767
1.0,0.0,0.0,0.8338945005611672,0.7764350453172205
